"filename", "language", "HTML", "comment", "blank", "total"
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\02-form-basics.html", "HTML", 89, 4, 0, 93
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\03-text-form-example01.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\03-text-form-example02.html", "HTML", 15, 0, 0, 15
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\03-text-form-example03.html", "HTML", 15, 0, 0, 15
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\03-text-form-example04.html", "HTML", 15, 0, 0, 15
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\03-text-form.html", "HTML", 141, 4, 0, 145
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\04-basic-input-atts-example01.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\04-basic-input-atts-example02.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\04-basic-input-atts-example03.html", "HTML", 15, 0, 0, 15
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\04-basic-input-atts-example04.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\04-basic-input-atts.html", "HTML", 109, 4, 0, 113
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\05-fieldset-and-legend-example01.html", "HTML", 18, 0, 0, 18
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\05-fieldset-and-legend-example02.html", "HTML", 19, 0, 0, 19
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\05-fieldset-and-legend.html", "HTML", 89, 4, 0, 93
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\06-textarea-example01.html", "HTML", 18, 0, 0, 18
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\06-textarea.html", "HTML", 74, 4, 0, 78
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\07-checkbox-example01.html", "HTML", 22, 0, 0, 22
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\07-checkbox-example02.html", "HTML", 20, 0, 0, 20
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\07-checkbox.html", "HTML", 94, 4, 0, 98
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\08-radio-example01.html", "HTML", 23, 0, 0, 23
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\08-radio.html", "HTML", 72, 4, 0, 76
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\09-select-form-example01.html", "HTML", 19, 0, 0, 19
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\09-select-form-example02.html", "HTML", 24, 0, 0, 24
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\09-select-form.html", "HTML", 110, 4, 0, 114
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html103\10-next.html", "HTML", 38, 4, 0, 42
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\info-multimedia\type-general.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\info-multimedia\video-youtube.html", "HTML", 66, 4, 1, 71
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\0-elements-list-category.html", "HTML", 1095, 4, 0, 1099
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\0-elements-list.html", "HTML", 952, 4, 0, 956
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\0-global-attribute-list.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-1-dir-global.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-1-height-and-width-global.html", "HTML", 36, 4, 0, 40
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-1-id-global.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-1-lang-global.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-1-title-global.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-a-download.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-a-href.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-a-target.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-area-coords.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-area-shape.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-audio-autoplay.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-audio-controls.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-audio-controlslist.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-audio-muted.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-audio-src.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-button-autocomplete.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-button-autofocus.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-button-disabled.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-button-form.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-canvas-height-and-width.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-canvas-moz-opaque.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-data-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-del-cite.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-del-datetime.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-details-open.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-embed-height-and-width.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-embed-src.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-embed-type.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-fieldset-disabled.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-fieldset-form.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-accept-charset.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-action.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-autocapitalize.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-autocomplete.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-enctype.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-method.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-novalidate.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-rel.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-form-target.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-html-xmlns.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-allow.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-allowfullscreen.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-credentialless.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-csp.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-height-width.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-loading.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-referrerpolicy.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-sandbox.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-src.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-iframe-srcdoc.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-alt.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-crossorigin.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-decoding.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-elementtiming.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-fetchpriority.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-height-and-width.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-ismap.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-loading.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-referrerpolicy.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-src.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-srcset.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-img-usemap.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-autocomplete.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-checked.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-id.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-name.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-placeholder.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-required.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-size.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-type.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-input-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-ins-cite.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-ins-datetime.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-label-for.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-li-value.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-as.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-blocking.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-crossorigin.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-disabled.html", "HTML", 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\list\att-link-fetchpriority.html", "HTML", 0, 0, 1, 1
